run_id,algorithm,graph,status,n_clusters,noise_pct,max_cluster_pct,median_cluster_size,silhouette,silhouette_lo,silhouette_hi,davies_bouldin,calinski_harabasz,bb_join_ratio,bb_join_p,intra_inter_ratio,detection_rate,single_cluster_rate,tight_placement_rate,area_accuracy_rate,median_area_ratio,median_nearest_km,metrics_runtime_s
louvain__prox_5000m__resolution2p0,louvain,prox_5000m,cached,817,0.0,1.898,2.0,0.2247488297246904,0.21414630718128197,0.23318552560811387,0.5232065594258892,10348.770916774283,0.9965629587197021,0.0,0.04544708615953647,100.0,90.0,45.0,75.0,0.85,5.17,33.78
louvain__prox_5000m__resolution5p0,louvain,prox_5000m,cached,859,0.0,1.392,3.0,0.2669459433211434,0.2595429132811488,0.2764685327901117,0.5267372436456682,14436.950526047272,0.9932333249794135,0.0,0.03846362334521161,100.0,75.0,60.0,85.0,0.71,4.32,31.25
louvain__prox_10000m__resolution0p05,louvain,prox_10000m,cached,345,0.0,2.002,20.0,0.35027621975117607,0.3422227691384901,0.3577741948110041,0.6282572097387219,26956.843176718066,0.9765851562779707,0.0,0.042208232506474944,100.0,85.0,45.0,80.0,0.81,5.17,32.78
louvain__prox_10000m__resolution0p1,louvain,prox_10000m,cached,337,0.0,2.002,21.0,0.3555816427380318,0.34997083484480285,0.36171487913579803,0.630705614696795,26756.246639221426,0.97669256381798,0.0,0.04316126626008263,100.0,85.0,45.0,80.0,0.87,5.13,33.42
louvain__prox_10000m__resolution0p25,louvain,prox_10000m,cached,337,0.0,2.002,21.0,0.35536855959291624,0.3501652224752118,0.36075012358864406,0.6297238312326974,26766.193332673163,0.977014786438008,0.0,0.043113437322852645,100.0,90.0,45.0,80.0,0.81,5.17,33.02
louvain__prox_10000m__resolution0p5,louvain,prox_10000m,cached,155,0.0,5.01,12.0,0.29279751769940143,0.27926385235403206,0.31344712745699743,0.6880464226530626,13281.641538932634,0.9956678958862912,0.0,0.08774573889017331,100.0,95.0,20.0,60.0,2.27,13.29,42.07
louvain__prox_10000m__resolution1p0,louvain,prox_10000m,cached,139,0.0,5.717,7.0,0.28016954655743287,0.26260590279856155,0.30170881102583635,0.709364650577127,13081.56555436253,0.99638394615302,0.0,0.08797675448708178,100.0,95.0,15.0,55.0,2.76,13.26,43.42
louvain__prox_10000m__resolution2p0,louvain,prox_10000m,cached,155,0.0,3.677,14.0,0.3036249430807649,0.28993002565177783,0.3183176630395617,0.6740922779566653,16028.233194704457,0.9945938204861982,0.0,0.07593925963864788,100.0,95.0,20.0,55.0,2.04,10.35,39.03
louvain__prox_10000m__resolution5p0,louvain,prox_10000m,cached,186,0.0,2.65,40.5,0.336681494960324,0.32669259597001,0.3489771593758033,0.6672650523584477,21867.566499018467,0.9914431993125917,0.0,0.05930459276835846,100.0,95.0,20.0,65.0,1.77,9.82,37.01
louvain__knn_10__resolution0p05,louvain,knn_10,cached,215,0.0,1.63,54.0,0.21252371145291754,0.20756101362800172,0.21845599994893425,0.959005702578211,20440.57898558473,0.9639110665568723,0.0,0.05426941866451824,100.0,55.0,30.0,75.0,0.87,6.93,31.92
louvain__knn_10__resolution0p1,louvain,knn_10,cached,201,0.0,1.787,55.0,0.214080437044681,0.20879960229297592,0.2220140266660244,0.9505114720267973,16907.92583635715,0.9663098349504136,0.0,0.06243086091943745,100.0,60.0,25.0,70.0,0.8,6.24,31.85
